Date	Close	Open	High	Low	Volume
2010-08-10	75.05	75.24	75.25	73.6203	2133717
2010-08-11	73.12	74.1	74.2	72.75	2661101
2010-08-12	72.48	72.37	72.93	72.0	2164674
2010-08-13	72.72	72.24	73.52	72.22	2096272
2010-08-16	71.94	72.42	72.42	71.51	3378990
2010-08-17	72.42	72.4	73.37	71.96	3625393
2010-08-18	73.66	72.5	73.91	72.29	2956292
2010-08-19	73.08	73.33	73.72	72.66	3112739
2010-08-20	73.2	72.48	73.35	72.48	2467897
2010-08-23	72.48	73.68	73.72	72.41	2499305
2010-08-24	71.25	71.94	72.09	71.13	2420037
2010-08-25	71.67	70.79	72.08	70.0	2501556
2010-08-26	71.54	71.74	72.32	71.334	1332850
2010-08-27	72.27	71.93	72.3	71.18	1738867
2010-08-30	70.22	70.65	71.14	70.14	1867077
2010-08-31	69.52	69.93	70.2	69.36	2714276
2010-09-01	69.93	70.09	70.64	69.78	3230903
2010-09-02	70.32	69.78	70.32	69.65	2829619
2010-09-03	70.72	70.78	70.93	70.38	2040748
2010-09-07	69.59	70.66	70.7	69.49	2059679
2010-09-08	68.86	68.85	69.605	68.62	3572820
2010-09-09	69.37	69.7	69.93	69.1531	1888386
2010-09-10	70.38	69.39	70.56	69.19	2240289
2010-09-13	69.45	71.07	71.18	69.075	2688387
2010-09-14	68.48	69.45	69.58	68.41	2995314
2010-09-15	68.48	68.41	68.77	68.19	2186683
2010-09-16	68.51	68.38	68.84	68.26	1674092
2010-09-17	69.75	68.81	70.13	68.77	3767732
2010-09-20	70.71	70.0	70.92	69.52	2864707
2010-09-21	71.65	70.58	72.06	70.51	3115980
2010-09-22	71.8	71.35	72.3	71.21	2686989
2010-09-23	71.67	71.39	72.16	71.2	2329393
2010-09-24	73.13	71.71	73.19	71.31	2710786
2010-09-27	72.38	73.24	73.45	72.36	2355728
2010-09-28	72.47	72.51	72.6	71.82	1723392
2010-09-29	71.89	72.16	72.4	71.33	3270886
2010-09-30	71.28	72.33	72.49	71.095	3425160
2010-10-01	69.61	71.5301	71.55	69.0	7533358
2010-10-04	69.35	69.63	70.54	69.25	3408908
2010-10-05	70.6	69.96	70.87	69.35	2750607
2010-10-06	70.9	70.38	71.5	70.38	3683335
2010-10-07	70.63	70.99	71.16	70.25	1797285
2010-10-08	70.1	70.86	70.87	69.97	2954343
2010-10-11	70.48	70.18	70.61	69.55	2211292
2010-10-12	70.55	70.68	70.77	69.57	2087446
2010-10-13	71.12	70.96	71.26	70.73	2304340
2010-10-14	70.2	71.15	71.43	70.07	2460812
2010-10-15	70.02	70.7	70.89	69.65	2776797
2010-10-18	70.04	69.9	70.187	69.5	2650999
2010-10-19	69.47	68.49	69.7	67.87	6314504
2010-10-20	69.83	69.44	69.97	69.33	2927638
2010-10-21	71.84	69.83	71.885	69.83	3994097
2010-10-22	71.78	71.77	71.84	71.15	2166320
2010-10-25	71.41	72.28	72.69	71.28	2489196
2010-10-26	71.8	71.06	72.13	71.06	2236790
2010-10-27	70.89	71.3	71.55	70.46	2856771
2010-10-28	71.02	71.35	71.67	70.32	1847582
2010-10-29	71.29	70.81	71.52	70.75	1560686
2010-11-01	71.47	71.71	72.2	70.95	1576267
2010-11-02	71.64	72.0	72.45	70.9	2471181
2010-11-03	70.93	71.77	71.94	70.395	3340814
2010-11-04	71.96	71.49	72.12	70.6	2782506
2010-11-05	73.27	71.89	73.7	71.86	3675216
2010-11-08	73.29	73.36	73.59	72.99	2121655
2010-11-09	72.55	73.34	73.3985	72.23	2095942
2010-11-10	71.92	72.46	72.46	71.68	2471436
2010-11-11	70.11	71.23	71.25	69.91	4855455
2010-11-12	69.49	69.9	70.2999	69.47	2847732
2010-11-15	69.37	69.73	70.11	69.37	2479434
2010-11-16	68.68	69.16	69.49	68.11	2726580
2010-11-17	68.55	68.82	69.07	67.71	3621525
2010-11-18	69.15	68.91	69.306	68.09	7819640
2010-11-19	69.43	69.15	69.74	69.1006	7133612
2010-11-22	68.64	69.33	69.41	68.14	7875931
2010-11-23	68.32	68.24	68.91	68.145	2365109
2010-11-24	69.16	68.65	69.22	68.5	2772112
2010-11-26	68.8	68.59	69.115	68.42	1441491
2010-11-29	68.2	68.0	68.4	67.71	2555631
2010-11-30	68.04	67.7	68.47	67.68	2383129
2010-12-01	69.4	68.65	69.54	68.65	2428318
2010-12-02	69.8	69.66	70.1	69.42	3110434
2010-12-03	69.18	69.47	69.96	68.51	2768059
2010-12-06	68.78	69.25	69.27	68.5102	1917155
2010-12-07	69.45	69.34	69.77	68.94	2523855
2010-12-08	68.73	69.37	69.83	68.73	2555678
2010-12-09	68.31	68.95	69.055	68.02	3693483
2010-12-10	68.84	68.39	68.92	68.31	3243506
2010-12-13	68.62	68.86	69.03	68.38	2835700
2010-12-14	70.02	68.83	70.32	68.739	2808606
2010-12-15	69.72	69.69	70.08	69.53	1869816
2010-12-16	70.37	69.9	70.42	69.3	1782112
2010-12-17	70.07	70.28	70.28	69.57	2828348
2010-12-20	69.65	69.79	70.16	69.44	2411003
2010-12-21	69.8	70.04	70.19	69.5001	2750135
2010-12-22	69.35	69.69	69.7801	69.31	3104819
2010-12-23	69.25	69.43	69.58	69.0	2121372
2010-12-27	69.31	69.0	69.41	68.81	1310346
2010-12-28	69.58	69.37	69.64	68.95	1445077
2010-12-29	69.13	69.73	69.87	69.1	1767098
2010-12-30	68.69	69.31	69.53	68.65	2315912
2010-12-31	69.91	68.83	69.96	68.65	2489593
2011-01-03	69.87	70.2	70.38	69.62	2004694
2011-01-04	70.31	69.82	70.62	69.7	2702172
2011-01-05	71.92	70.13	71.96	70.01	4466054
2011-01-06	73.18	72.46	73.96	72.19	6457703
2011-01-07	73.63	73.19	73.89	72.75	4151366
2011-01-10	73.59	73.75	74.18	73.16	4650799
2011-01-11	73.65	74.0	74.0	73.38	4607138
2011-01-12	74.24	74.14	74.35	73.79	2910220
2011-01-13	73.84	74.21	74.88	73.75	2894838
2011-01-14	74.5	73.66	74.61	73.52	2508928
2011-01-18	76.54	75.03	76.89	75.0	3788949
2011-01-19	77.66	76.23	78.67	76.23	5082472
2011-01-20	79.32	77.58	79.33	77.38	4774574
2011-01-21	79.22	79.75	80.16	79.13	4231434
